id,lat,lng,station,source,aqi,pm25,pm10,co,no2,so2,rh,temperature,windSpeed,timestamp,severity,description
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,91,55.4,95.1,1.96,21.2,9.9,45,23.9,3.9,2025-07-20T16:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,84,72.5,76.7,1.89,43.2,16.8,32,21.7,5.6,2025-07-20T16:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,133,53.5,71.2,3.18,44.5,10.8,42,24.8,4.8,2025-07-20T16:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,91,95.3,91.2,1.61,58.4,14.9,34,22.1,4.7,2025-07-20T16:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,112,82.4,115.3,1.43,61.8,17.1,49,23.8,3.9,2025-07-20T16:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,135,91.8,126.2,1.97,37.7,17.8,45,24.2,5.6,2025-07-20T16:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,94,101.1,210.3,0.71,19.1,6,34,24.7,4.2,2025-07-20T16:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,124,90.7,158.6,0.41,20.5,8.9,43,22.8,4.3,2025-07-20T16:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,73,61.9,102.2,0.29,22.7,7,32,22.1,3.5,2025-07-20T16:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,99,93.2,125.2,0.45,17.5,3.6,40,21.3,4.1,2025-07-20T16:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,100,81.5,178,0.71,20.3,2.7,44,24.3,5.2,2025-07-20T16:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,77,48.3,118.1,0.85,20.8,9.9,35,24.2,3.7,2025-07-20T17:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,85,60.4,101.2,1.15,28.4,9.8,35,23.3,3.4,2025-07-20T17:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,81,48.7,147.3,0.54,30.3,4.6,47,23,3.1,2025-07-20T17:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,79,72,108.6,0.73,28.8,4.4,41,25.3,3.5,2025-07-20T17:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,55,46.2,99.9,0.63,34.8,8.2,46,21,4.5,2025-07-20T17:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,62,48.4,38.4,1.32,30.1,10.2,44,24.8,2.7,2025-07-20T17:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,65,49.8,73.8,0.91,34.5,6.8,37,20.9,3.1,2025-07-20T17:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,80,31.4,84.6,0.91,37.5,9.5,40,24.1,5.6,2025-07-20T17:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,42,20.1,29.8,0.9,26.3,6.9,35,22.4,5.4,2025-07-20T17:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,45,30.8,27.5,0.92,21.2,5.7,36,22.1,3.1,2025-07-20T17:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,61,39.9,51.3,1.83,36,11.2,39,23.2,3.8,2025-07-20T17:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,62,30.9,99.2,0.21,11,2.8,37,25,4.7,2025-07-20T17:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,89,60.4,129.5,0.53,9.1,4.7,39,24.8,4.4,2025-07-20T17:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,87,43.8,159.9,0.59,10.1,3.8,38,21.1,4.7,2025-07-20T17:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,82,50.3,151.6,0.25,16.7,5.2,32,24.7,4.3,2025-07-20T17:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,82,64.3,146.1,0.29,17.3,6.3,35,22.9,5.3,2025-07-20T17:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,38,49.2,69.5,0.69,24,3.2,42,22.8,4.6,2025-07-20T18:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,60,53.1,155.1,1.05,24,8.8,49,21,2.8,2025-07-20T18:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,56,42,98.7,0.61,13.6,3.1,45,21.8,4.8,2025-07-20T18:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,64,43.5,114.1,0.96,29.8,9.9,39,22.2,4.2,2025-07-20T18:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,62,35.6,125.1,0.6,27.3,4.1,33,21.3,4.2,2025-07-20T18:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,77,34.2,67.3,1,26,11.2,50,23.3,3.8,2025-07-20T18:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,52,51.3,52.5,1.71,23.5,7.1,47,20.5,5.3,2025-07-20T18:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,43,20.2,29.2,0.61,11.8,6.9,47,21.6,4.3,2025-07-20T18:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,49,59.7,70.6,1.28,27,12.5,34,24.6,5.6,2025-07-20T18:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,58,33,56,1.49,22.4,9.5,46,23,2.8,2025-07-20T18:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,49,30.7,62.6,0.94,29.8,12.7,39,24.4,4.3,2025-07-20T18:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,82,70.8,108.2,0.48,12.5,4.7,33,24.6,4.2,2025-07-20T18:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,65,53.4,140.8,0.58,9.8,3.8,32,23.6,4.1,2025-07-20T18:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,96,49.9,118,0.45,12.8,4.6,40,22.7,5.3,2025-07-20T18:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,94,70.9,92,0.35,13.6,3.9,46,23,5.6,2025-07-20T18:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,87,58.8,160.6,0.56,10.9,5.2,39,25,2.7,2025-07-20T18:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,112,51.5,121.1,0.69,36.7,5.3,47,22,3.7,2025-07-20T19:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,97,107.3,155.8,0.76,47.7,12.7,48,22,4.1,2025-07-20T19:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,80,100.7,197,1.03,28.9,11.5,35,21.9,2.9,2025-07-20T19:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,76,68.9,208.2,0.68,45.5,4.8,49,24.6,5,2025-07-20T19:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,85,106,115.9,1.41,46.6,14,32,25.3,5.1,2025-07-20T19:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,57,51,40.4,1.88,22.6,7.3,32,23.2,5.7,2025-07-20T19:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,73,72.6,49.3,2.18,37.3,10.7,39,21.8,2.9,2025-07-20T19:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,65,80.3,98.6,2.75,50.4,15.3,49,21.6,4.3,2025-07-20T19:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,76,65.8,119.3,2.19,53.8,13.2,43,24.8,3.5,2025-07-20T19:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,91,75.9,48.4,1.64,44.7,12.5,38,21.9,5.7,2025-07-20T19:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,91,59.7,114.2,2.53,34.8,17.7,46,23.2,3.5,2025-07-20T19:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,90,70,150.2,0.48,25,8.2,43,25,4.8,2025-07-20T19:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,100,100,143.6,0.67,23.7,8.1,50,23.7,3.1,2025-07-20T19:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,103,58,149.2,0.56,23.4,5.2,41,24.8,3.2,2025-07-20T19:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,117,97.6,212.4,0.45,24.2,6.2,43,24.3,4.2,2025-07-20T19:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,134,107.6,135,0.51,16.3,8.6,35,25.3,5.1,2025-07-20T19:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,123,57.6,205,1.87,21.3,12.6,37,21.7,4.1,2025-07-20T20:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,114,46.5,204.1,0.81,35.5,12.6,48,21.9,4.6,2025-07-20T20:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,92,50.6,181.9,0.82,35.3,14.2,39,22.9,4.3,2025-07-20T20:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,118,91.7,190.5,0.68,29.2,8.8,44,21.9,3.8,2025-07-20T20:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,77,85.7,97.6,1.49,42.2,9.7,32,20.8,3.9,2025-07-20T20:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,93,79.4,51.1,1.36,39.7,17.5,45,23.1,3.1,2025-07-20T20:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,67,37.7,36.2,1.57,22.5,7.6,31,23.3,3.9,2025-07-20T20:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,102,77.5,92.1,1.24,45.6,12.8,48,22.5,4.1,2025-07-20T20:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,110,47.9,67.2,2.02,34.9,14.8,42,22.6,5.5,2025-07-20T20:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,76,70.3,114.7,1.99,43.8,11.7,44,21.7,3.5,2025-07-20T20:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,57,59.4,75.6,1,27.8,12.9,33,22.8,4.8,2025-07-20T20:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,103,64.1,203.1,0.58,22.3,3.5,50,22.2,3.1,2025-07-20T20:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,75,51,111.6,0.36,16.7,3.3,45,21.8,4.7,2025-07-20T20:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,127,119.8,209.6,0.76,17.5,3.7,32,22.7,3.3,2025-07-20T20:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,99,88.8,126.1,0.43,20.8,4.2,33,24.7,3.2,2025-07-20T20:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,123,110.8,178.3,0.28,18.2,9,32,24.7,5.6,2025-07-20T20:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,120,47,205.4,1.24,37.3,10.6,36,22.7,3.4,2025-07-20T21:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,108,98.7,187.2,1.83,42.4,13.8,48,21.7,2.8,2025-07-20T21:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,123,80.6,131.9,1.45,31.7,14,47,21,4.1,2025-07-20T21:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,93,76.3,216.9,1.24,25.9,15.4,32,21.2,5.7,2025-07-20T21:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,74,49.7,202.6,0.8,31,6.5,43,22.4,4.9,2025-07-20T21:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,44,43.7,86.8,1.04,20.5,7,35,23,5.6,2025-07-20T21:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,116,64.9,83.4,1.25,45.8,10.5,38,22.7,3.6,2025-07-20T21:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,79,57.7,118.8,2.48,41.5,13.2,38,21.6,3,2025-07-20T21:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,122,58.5,111.8,2.54,24.9,11.4,45,24.3,3.5,2025-07-20T21:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,75,54.6,76.7,0.85,17.1,11.8,34,20.6,5.6,2025-07-20T21:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,108,54,92.8,2.19,26.1,12.7,41,21.9,3.6,2025-07-20T21:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,112,103.4,132,0.55,12.8,5.6,39,22.7,4.9,2025-07-20T21:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,121,103.5,149,0.36,21.8,6.2,34,21.6,3.8,2025-07-20T21:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,136,80.9,128.2,0.51,17.3,3.7,31,23.1,3.8,2025-07-20T21:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,96,74.5,259,0.75,12.8,6.7,41,23.7,3.3,2025-07-20T21:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,89,81.3,143,0.84,24.1,6.6,42,23.1,3.7,2025-07-20T21:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,109,53.3,134.4,1.27,33.3,14.1,31,22.2,4.1,2025-07-20T22:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,113,76.1,194.6,1.6,41.3,6.9,48,20.6,3.3,2025-07-20T22:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,98,105.4,195.1,1.24,27.8,8.9,48,24.1,3.5,2025-07-20T22:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,82,77.6,171.6,0.78,38.1,14.4,32,20.8,4.3,2025-07-20T22:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,136,75.8,119.6,1.45,24.8,11.2,36,24.7,3.1,2025-07-20T22:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,68,54.5,113.2,1.32,24.5,16.3,41,21,4.8,2025-07-20T22:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,79,46.5,69.9,1.69,33.7,8.6,44,20.4,3.3,2025-07-20T22:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,105,55.7,54.7,1.78,25,11.8,32,22.7,5.3,2025-07-20T22:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,76,45,66.3,2.49,46.4,14.8,49,24.6,3.8,2025-07-20T22:00:00.000Z,moderate,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,116,49,89.3,1.61,42.7,13.6,47,21.7,5.3,2025-07-20T22:00:00.000Z,moderate,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,71,85.6,108.1,1.62,24.6,12.7,34,22.9,5.5,2025-07-20T22:00:00.000Z,moderate,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,131,72.2,235.4,0.54,26.4,5.7,47,24.8,4.4,2025-07-20T22:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,126,63.8,126.5,0.56,19.2,6.9,33,24.9,5.7,2025-07-20T22:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,75,85.9,136.9,0.64,12.6,2.3,41,24.1,5,2025-07-20T22:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,88,69.4,174.2,0.39,11,3.3,38,25.1,3.1,2025-07-20T22:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,87,73.6,200.8,0.4,16.4,8.1,45,20.6,3.5,2025-07-20T22:00:00.000Z,moderate,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,94,76.3,122.4,1.62,25.5,8.5,35,23.2,2.9,2025-07-20T23:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,83,99,95.5,0.81,23.3,11.3,49,20.4,5.4,2025-07-20T23:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,78,60.2,193.8,1.12,48.5,5.2,42,24.7,3.8,2025-07-20T23:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,93,87,131.2,0.84,38.8,9.6,45,22.4,5.7,2025-07-20T23:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,134,84.8,110.2,0.77,46.8,9.7,35,20.7,3.2,2025-07-20T23:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,71,60.3,99,1.94,49.5,15.8,38,24.8,4.8,2025-07-20T23:00:00.000Z,moderate,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,78,75.1,61,1.73,41.2,17.8,32,24.4,4.1,2025-07-20T23:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,121,73.3,123.6,2.49,36.4,10.3,36,23.1,5.4,2025-07-20T23:00:00.000Z,moderate,Highway Monitor C - Highway monitoring point with diesel emissions
